model,accuracy,precision,recall,f1,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1,best_epoch,trained_epochs,ratio,task
NaiveBayes,0.8468,0.8550548112058465,0.837375745526839,0.8461229409401366,,0.6824519634246826,0.6825957298278809,7324.979898805944,,,,0.25,sentiment
TextCNN,0.8048,0.7969895793130065,0.8210735586481114,0.808852330591461,2757377.0,5.513424396514893,0.2389450073242187,20925.31690028417,0.8167202572347267,11.0,12.0,0.25,sentiment
CNNBiGRU,0.7686,0.722331368696791,0.8771371769383698,0.7922427724905728,2807937.0,97.78725171089172,4.849077939987183,1031.1238676467256,0.8104956268221575,8.0,12.0,0.25,sentiment
BiGRU,0.7568,0.7137216189536032,0.8624254473161034,0.7810586964350018,2758401.0,59.274245738983154,4.4263129234313965,1129.6083414102286,0.7764705882352941,4.0,8.0,0.25,sentiment
Transformer,0.7358,0.7161477190441708,0.7864811133200795,0.7496683721811636,2825089.0,27.173158645629883,0.8990960121154785,5561.141338215398,0.7597402597402597,7.0,11.0,0.25,sentiment
NaiveBayes,0.8524,0.8610321007720438,0.8425447316103379,0.8516881028938906,,1.3908991813659668,0.6967067718505859,7176.620354527411,,,,0.5,sentiment
TextCNN,0.8238,0.8156877897990726,0.8393638170974155,0.8273564569860866,2757377.0,10.595434188842772,0.2467238903045654,20265.568907120454,0.8229508196721311,12.0,12.0,0.5,sentiment
CNNBiGRU,0.8074,0.8214581607290804,0.7884691848906561,0.8046256847230676,2807937.0,159.35185861587524,4.907109022140503,1018.9298785579005,0.8434925864909391,6.0,10.0,0.5,sentiment
BiGRU,0.7964,0.8009650180940893,0.7920477137176939,0.7964814074370252,2758401.0,160.34298419952393,4.435362100601196,1127.303675910084,0.7960848287112561,7.0,11.0,0.5,sentiment
Transformer,0.7742,0.7856553998351196,0.7578528827037774,0.7715037441813398,2825089.0,58.61244225502014,0.9130282402038574,5476.281871504456,0.7830342577487766,12.0,12.0,0.5,sentiment
NaiveBayes,0.857,0.8694581280788177,0.8421471172962227,0.8555847303575035,,2.0413331985473633,0.6757717132568359,7398.948345888643,,,,0.75,sentiment
TextCNN,0.8378,0.8274404304381245,0.8560636182902585,0.8415086965018566,2757377.0,15.984392881393433,0.2516641616821289,19867.747424106343,0.8400435255712732,10.0,12.0,0.75,sentiment
BiGRU,0.823,0.7931654676258992,0.8767395626242545,0.8328611898016998,2758401.0,175.03626608848572,4.297775983810425,1163.392419436199,0.8197064989517819,4.0,8.0,0.75,sentiment
CNNBiGRU,0.8154,0.8028919330289194,0.8389662027833003,0.8205327629788062,2807937.0,263.96405029296875,4.9219279289245605,1015.8620914818024,0.8514225500526871,7.0,11.0,0.75,sentiment
Transformer,0.7906,0.7901185770750988,0.794831013916501,0.7924677898909812,2825089.0,87.77313923835754,0.864487886428833,5783.771037735199,0.8174863387978142,12.0,12.0,0.75,sentiment
NaiveBayes,0.863,0.8701456310679612,0.8552683896620278,0.8626428714658111,,2.7746779918670654,0.6917119026184082,7228.442912537699,,,,1.0,sentiment
TextCNN,0.8406,0.8273628048780488,0.863220675944334,0.8449114613738081,2757377.0,20.864710330963135,0.2478289604187011,20175.204671611493,0.8506493506493507,11.0,12.0,1.0,sentiment
CNNBiGRU,0.8334,0.8023005032350827,0.8874751491053678,0.8427411742495753,2807937.0,386.98537254333496,4.94084095954895,1011.9734759599409,0.85423197492163,10.0,12.0,1.0,sentiment
BiGRU,0.828,0.8254030672434133,0.8345924453280318,0.8299723210755239,2758401.0,291.7286832332611,4.424202919006348,1130.1470776848937,0.8430278884462151,6.0,10.0,1.0,sentiment
Transformer,0.8042,0.7786647314949202,0.8532803180914513,0.8142667425535951,2825089.0,116.83987927436829,0.883965253829956,5656.330922891484,0.8146417445482866,8.0,12.0,1.0,sentiment
