number,state,value,embedding_dim,num_heads,lr,weight_decay,dropout,ff_dim,num_layers,label_smoothing,_best_val_bleu4,_params,_test_bleu1,_test_bleu2,_trained_epochs
0,COMPLETE,0.08872999469163317,192,4,0.00015957084694148357,1.493656855461763e-06,0.27323522915498705,512,2,0.19398197043239887,0.08305149936228914,6983089.0,0.4346820273880677,0.23264922007121489,8.0
1,COMPLETE,0.16462173140379846,128,8,0.0004816414530907084,1.9762189340280066e-05,0.15824582803960838,256,2,0.07327236865873835,0.18305322328479223,4198769.0,0.518559320363131,0.3372466273831828,8.0
2,COMPLETE,0.08612524473261213,192,8,0.00011492999300221417,6.647135865318028e-05,0.1341048247374583,512,4,0.16167946962329224,0.08938925592101193,8665521.0,0.4201195219123506,0.225502929229757,8.0
3,COMPLETE,0.20382059967884056,256,4,0.0004407984038169245,1.2681352169084602e-06,0.2818640804157564,512,2,0.10401360423556216,0.21501379991883107,9700849.0,0.5435305041284717,0.37881737932086285,8.0
4,PRUNED,0.057649870391531,256,8,0.0014594768942966846,6.218704727769077e-05,0.28437484700462334,512,2,0.06506606615265287,,,,,
5,PRUNED,0.02752974835430349,256,4,0.0005082341959721457,2.6471141828218185e-06,0.2604393961508079,512,4,0.03974313630683449,,,,,
6,PRUNED,0.03145975201141685,192,8,0.0001248344099733966,1.1895896737553559e-05,0.12317381190502595,256,2,0.012711670057204728,,,,,
7,PRUNED,0.059084361998750085,256,8,0.0004114961554691335,2.2844556850020545e-06,0.242648957444599,256,4,0.09875911927287816,,,,,
8,COMPLETE,0.17994685605753877,128,4,0.0006729596646792115,8.771380343280564e-06,0.20171413823294054,256,3,0.15111022770860974,0.1976282016631432,4530033.0,0.5371818553068681,0.35829458838360445,8.0
9,PRUNED,0.0013781756315362245,256,8,0.0011256123615936324,7.947147424653738e-05,0.27429211803754355,256,4,0.10786844838313014,,,,,
10,PRUNED,0.13995906885371273,256,4,0.0002513193354752948,0.0006264278041381339,0.21312261813628064,512,3,0.12759435104221217,,,,,
11,COMPLETE,0.20656021880511277,128,4,0.0008223090744280801,6.266507691056084e-06,0.18323993164192198,256,3,0.14438629303938624,0.212280050522481,4530033.0,0.5655428905528199,0.39201116883587256,8.0
12,COMPLETE,0.22155489457760613,128,4,0.0008567454264302404,4.766442902019308e-06,0.1690270764408139,512,3,0.146191751278399,0.23401311281396053,4924785.0,0.5781744752169866,0.4105255407548453,8.0
13,COMPLETE,0.2208034118755003,128,4,0.0008972526942951088,4.801943379928181e-06,0.1677457802048458,256,3,0.19213974959989946,0.22783485075825996,4530033.0,0.5688520751436837,0.40439397172177305,8.0
14,PRUNED,0.045226166697606984,128,4,0.00195648080097562,4.698088329030805e-06,0.10262806314356167,512,3,0.19920339787224267,,,,,
