task,model,mode,p,f1_macro
reuters,TextCNN,delete,0.0,0.5455615135738685
reuters,BiGRU,delete,0.0,0.5037519812863052
reuters,Transformer,delete,0.0,0.5593398932019193
reuters,CNNBiGRU,delete,0.0,0.4778882975977936
reuters,TextCNN,delete,0.05,0.5403496250816311
reuters,BiGRU,delete,0.05,0.5018793314515688
reuters,Transformer,delete,0.05,0.5517168092075394
reuters,CNNBiGRU,delete,0.05,0.46685726514215625
reuters,TextCNN,delete,0.1,0.5248837275934105
reuters,BiGRU,delete,0.1,0.48402253655444666
reuters,Transformer,delete,0.1,0.5476712496463094
reuters,CNNBiGRU,delete,0.1,0.4614788056141612
reuters,TextCNN,delete,0.15,0.5114772635894284
reuters,BiGRU,delete,0.15,0.48140156429459396
reuters,Transformer,delete,0.15,0.5363167982437359
reuters,CNNBiGRU,delete,0.15,0.4295850455378064
reuters,TextCNN,delete,0.2,0.529934025572785
reuters,BiGRU,delete,0.2,0.46883835399380197
reuters,Transformer,delete,0.2,0.5347811475158643
reuters,CNNBiGRU,delete,0.2,0.44749055027045725
reuters,TextCNN,unk,0.0,0.5455615135738685
reuters,BiGRU,unk,0.0,0.5037519812863052
reuters,Transformer,unk,0.0,0.5593398932019193
reuters,CNNBiGRU,unk,0.0,0.4778882975977936
reuters,TextCNN,unk,0.05,0.5310714860853787
reuters,BiGRU,unk,0.05,0.47730378449523886
reuters,Transformer,unk,0.05,0.5416356818355652
reuters,CNNBiGRU,unk,0.05,0.46328158461254715
reuters,TextCNN,unk,0.1,0.5330592875868299
reuters,BiGRU,unk,0.1,0.434431806411692
reuters,Transformer,unk,0.1,0.5331876768360707
reuters,CNNBiGRU,unk,0.1,0.4390327500711187
reuters,TextCNN,unk,0.15,0.5166887603196372
reuters,BiGRU,unk,0.15,0.3331779673508524
reuters,Transformer,unk,0.15,0.4854489814583322
reuters,CNNBiGRU,unk,0.15,0.4344938176674133
reuters,TextCNN,unk,0.2,0.5181948710261315
reuters,BiGRU,unk,0.2,0.31482484935063026
reuters,Transformer,unk,0.2,0.490637362470809
reuters,CNNBiGRU,unk,0.2,0.42742453837264394
