task,model,mode,p,bleu4
translation,Seq2Seq+Attention,delete,0.0,0.3314353831876304
translation,Transformer,delete,0.0,0.31114400461676395
translation,CNNBiGRU,delete,0.0,0.31271771446193036
translation,Seq2Seq+Attention,delete,0.05,0.12393562264114363
translation,Transformer,delete,0.05,0.2855409593496358
translation,CNNBiGRU,delete,0.05,0.22195109879767164
translation,Seq2Seq+Attention,delete,0.1,0.12418535578274563
translation,Transformer,delete,0.1,0.2857445525049345
translation,CNNBiGRU,delete,0.1,0.22238279726058793
translation,Seq2Seq+Attention,delete,0.15,0.12248115697572214
translation,Transformer,delete,0.15,0.2857158757796661
translation,CNNBiGRU,delete,0.15,0.2196159107688776
translation,Seq2Seq+Attention,delete,0.2,0.1067479170245201
translation,Transformer,delete,0.2,0.2737783225982649
translation,CNNBiGRU,delete,0.2,0.19089477724280005
translation,Seq2Seq+Attention,unk,0.0,0.3314353831876304
translation,Transformer,unk,0.0,0.31114400461676395
translation,CNNBiGRU,unk,0.0,0.31271771446193036
translation,Seq2Seq+Attention,unk,0.05,0.08212401849841103
translation,Transformer,unk,0.05,0.23415752472114018
translation,CNNBiGRU,unk,0.05,0.15291811730824378
translation,Seq2Seq+Attention,unk,0.1,0.08203232816326621
translation,Transformer,unk,0.1,0.23387167245449175
translation,CNNBiGRU,unk,0.1,0.15277390707390864
translation,Seq2Seq+Attention,unk,0.15,0.07924296439532506
translation,Transformer,unk,0.15,0.23189014017101453
translation,CNNBiGRU,unk,0.15,0.1499779628383241
translation,Seq2Seq+Attention,unk,0.2,0.05921602223978112
translation,Transformer,unk,0.2,0.20493102643390543
translation,CNNBiGRU,unk,0.2,0.12552053078816716
