,precision,recall,f1-score,support
0,0.8,0.6153846153846154,0.6956521739130435,13.0
1,0.6433566433566433,0.8518518518518519,0.7330677290836654,108.0
2,0.8235294117647058,0.7368421052631579,0.7777777777777778,19.0
3,0.9110012360939431,0.9270440251572327,0.9189526184538653,795.0
4,0.8409542743538767,0.8721649484536083,0.8562753036437247,485.0
5,0.0,0.0,0.0,4.0
6,0.9230769230769231,1.0,0.96,12.0
7,0.4,0.5,0.4444444444444444,4.0
8,0.8571428571428571,0.6666666666666666,0.75,36.0
9,0.78125,1.0,0.8771929824561403,25.0
10,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
11,0.6446280991735537,0.8210526315789474,0.7222222222222222,95.0
12,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
13,0.5892857142857143,0.7857142857142857,0.673469387755102,42.0
14,0.0,0.0,0.0,6.0
15,0.0,0.0,0.0,6.0
16,0.7115384615384616,0.6788990825688074,0.6948356807511737,109.0
17,1.0,0.4,0.5714285714285714,10.0
18,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0
19,0.7175572519083969,0.6861313868613139,0.7014925373134329,137.0
20,0.6,0.5294117647058824,0.5625,68.0
21,0.7777777777777778,0.84,0.8076923076923077,25.0
22,0.0,0.0,0.0,4.0
23,0.875,0.6363636363636364,0.7368421052631579,11.0
24,0.7272727272727273,0.5,0.5925925925925926,16.0
25,0.8888888888888888,0.96,0.9230769230769231,25.0
26,1.0,0.6666666666666666,0.8,6.0
27,0.5,0.25,0.3333333333333333,4.0
28,0.5,0.4166666666666667,0.45454545454545453,12.0
29,0.6666666666666666,0.4,0.5,5.0
30,1.0,0.7272727272727273,0.8421052631578947,11.0
31,1.0,0.2,0.3333333333333333,10.0
32,0.8333333333333334,0.625,0.7142857142857143,8.0
33,1.0,0.6666666666666666,0.8,3.0
34,0.8,0.7272727272727273,0.7619047619047619,11.0
35,1.0,0.3333333333333333,0.5,3.0
36,0.5,0.25,0.3333333333333333,12.0
37,1.0,0.25,0.4,4.0
38,1.0,0.25,0.4,4.0
39,1.0,0.3333333333333333,0.5,6.0
40,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
41,0.25,0.125,0.16666666666666666,8.0
42,1.0,0.3333333333333333,0.5,3.0
43,0.7142857142857143,1.0,0.8333333333333334,5.0
44,1.0,1.0,1.0,3.0
45,0.6666666666666666,0.5,0.5714285714285714,4.0
accuracy,0.8107747105966162,0.8107747105966162,0.8107747105966162,0.8107747105966162
macro avg,0.7111310837366941,0.5513819434343179,0.5913534239109872,2246.0
weighted avg,0.8078758661820351,0.8107747105966162,0.8023282015665031,2246.0
