,precision,recall,f1-score,support
0,0.8181818181818182,0.6923076923076923,0.75,13.0
1,0.7109375,0.8425925925925926,0.7711864406779662,108.0
2,0.7619047619047619,0.8421052631578947,0.8,19.0
3,0.9072039072039072,0.9345911949685535,0.9206939281288724,795.0
4,0.8591836734693877,0.8680412371134021,0.8635897435897436,485.0
5,0.0,0.0,0.0,4.0
6,1.0,1.0,1.0,12.0
7,1.0,0.5,0.6666666666666666,4.0
8,0.7714285714285715,0.75,0.7605633802816901,36.0
9,0.9090909090909091,0.8,0.851063829787234,25.0
10,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
11,0.4909090909090909,0.8526315789473684,0.6230769230769231,95.0
12,0.875,0.5833333333333334,0.7,12.0
13,0.7941176470588235,0.6428571428571429,0.7105263157894737,42.0
14,0.8,0.6666666666666666,0.7272727272727273,6.0
15,0.0,0.0,0.0,6.0
16,0.7614678899082569,0.7614678899082569,0.7614678899082569,109.0
17,0.75,0.6,0.6666666666666666,10.0
18,0.9090909090909091,0.5882352941176471,0.7142857142857143,17.0
19,0.76,0.6934306569343066,0.7251908396946565,137.0
20,0.7222222222222222,0.5735294117647058,0.639344262295082,68.0
21,0.8,0.8,0.8,25.0
22,0.0,0.0,0.0,4.0
23,0.4166666666666667,0.45454545454545453,0.43478260869565216,11.0
24,0.75,0.375,0.5,16.0
25,0.75,0.84,0.7924528301886793,25.0
26,0.8571428571428571,1.0,0.9230769230769231,6.0
27,1.0,0.25,0.4,4.0
28,0.5,0.3333333333333333,0.4,12.0
29,1.0,0.2,0.3333333333333333,5.0
30,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
31,1.0,0.5,0.6666666666666666,10.0
32,1.0,0.625,0.7692307692307693,8.0
33,1.0,0.6666666666666666,0.8,3.0
34,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
35,0.0,0.0,0.0,3.0
36,0.75,0.25,0.375,12.0
37,0.5,0.25,0.3333333333333333,4.0
38,1.0,0.5,0.6666666666666666,4.0
39,0.0,0.0,0.0,6.0
40,1.0,0.4444444444444444,0.6153846153846154,9.0
41,0.5,0.125,0.2,8.0
42,1.0,0.3333333333333333,0.5,3.0
43,0.6666666666666666,0.8,0.7272727272727273,5.0
44,1.0,1.0,1.0,3.0
45,1.0,0.25,0.4,4.0
accuracy,0.8165627782724845,0.8165627782724845,0.8165627782724845,0.8165627782724845
macro avg,0.7262062356674016,0.5560683154892606,0.6008543355605355,2246.0
weighted avg,0.8204696549980837,0.8165627782724845,0.8103954226372159,2246.0
