,precision,recall,f1-score,support
0,0.6666666666666666,0.6153846153846154,0.64,13.0
1,0.6546762589928058,0.8425925925925926,0.7368421052631579,108.0
2,0.5833333333333334,0.7368421052631579,0.6511627906976745,19.0
3,0.9576868829337094,0.8540880503144654,0.9029255319148937,795.0
4,0.7992633517495396,0.8948453608247423,0.8443579766536965,485.0
5,0.0,0.0,0.0,4.0
6,0.6428571428571429,0.75,0.6923076923076923,12.0
7,1.0,0.5,0.6666666666666666,4.0
8,0.8333333333333334,0.6944444444444444,0.7575757575757576,36.0
9,0.9130434782608695,0.84,0.875,25.0
10,0.8181818181818182,0.8709677419354839,0.84375,31.0
11,0.625,0.6842105263157895,0.6532663316582915,95.0
12,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
13,0.6666666666666666,0.8571428571428571,0.75,42.0
14,0.0,0.0,0.0,6.0
15,0.0,0.0,0.0,6.0
16,0.7033898305084746,0.7614678899082569,0.7312775330396476,109.0
17,0.2857142857142857,0.2,0.23529411764705882,10.0
18,0.6666666666666666,0.5882352941176471,0.625,17.0
19,0.6956521739130435,0.7007299270072993,0.6981818181818182,137.0
20,0.5061728395061729,0.6029411764705882,0.5503355704697986,68.0
21,0.40425531914893614,0.76,0.5277777777777778,25.0
22,0.0,0.0,0.0,4.0
23,0.5555555555555556,0.45454545454545453,0.5,11.0
24,0.75,0.375,0.5,16.0
25,0.7333333333333333,0.88,0.8,25.0
26,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
27,1.0,0.25,0.4,4.0
28,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
29,1.0,0.2,0.3333333333333333,5.0
30,0.75,0.8181818181818182,0.782608695652174,11.0
31,0.6666666666666666,0.4,0.5,10.0
32,1.0,0.5,0.6666666666666666,8.0
33,1.0,0.6666666666666666,0.8,3.0
34,0.5555555555555556,0.45454545454545453,0.5,11.0
35,0.0,0.0,0.0,3.0
36,0.2916666666666667,0.5833333333333334,0.3888888888888889,12.0
37,1.0,0.25,0.4,4.0
38,1.0,0.25,0.4,4.0
39,0.8,0.6666666666666666,0.7272727272727273,6.0
40,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
41,1.0,0.375,0.5454545454545454,8.0
42,1.0,0.6666666666666666,0.8,3.0
43,1.0,0.2,0.3333333333333333,5.0
44,1.0,1.0,1.0,3.0
45,1.0,0.25,0.4,4.0
accuracy,0.786286731967943,0.786286731967943,0.786286731967943,0.786286731967943
macro avg,0.6854432245926467,0.5282620477800772,0.5584405514717821,2246.0
weighted avg,0.7984243643928989,0.786286731967943,0.7834468330812612,2246.0
