,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.6666666666666666,0.7222222222222222,0.6933333333333334,36.0
2,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
3,0.9612068965517241,0.87109375,0.9139344262295082,256.0
4,0.7900552486187845,0.9285714285714286,0.8537313432835821,154.0
6,0.5,0.5,0.5,2.0
7,0.75,0.75,0.75,4.0
8,0.875,0.9333333333333333,0.9032258064516129,15.0
9,0.9166666666666666,1.0,0.9565217391304348,11.0
10,0.5714285714285714,0.5,0.5333333333333333,8.0
11,0.4666666666666667,0.6363636363636364,0.5384615384615384,22.0
12,1.0,0.16666666666666666,0.2857142857142857,6.0
13,0.47058823529411764,0.7272727272727273,0.5714285714285714,11.0
14,0.0,0.0,0.0,2.0
15,0.0,0.0,0.0,2.0
16,0.6818181818181818,0.7894736842105263,0.7317073170731707,38.0
17,0.0,0.0,0.0,5.0
18,0.3333333333333333,0.5,0.4,4.0
19,0.8,0.8,0.8,40.0
20,0.65,0.7647058823529411,0.7027027027027027,17.0
21,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
22,0.0,0.0,0.0,3.0
23,0.0,0.0,0.0,1.0
24,0.6666666666666666,0.5,0.5714285714285714,4.0
25,1.0,0.6666666666666666,0.8,6.0
26,0.0,0.0,0.0,2.0
27,0.0,0.0,0.0,1.0
28,0.25,0.25,0.25,4.0
29,0.0,0.0,0.0,4.0
30,1.0,0.6,0.75,5.0
31,0.0,0.0,0.0,3.0
32,0.5,1.0,0.6666666666666666,1.0
33,0.0,0.0,0.0,1.0
34,1.0,0.2857142857142857,0.4444444444444444,7.0
36,0.1111111111111111,0.3333333333333333,0.16666666666666666,3.0
40,0.0,0.0,0.0,2.0
41,0.0,0.0,0.0,1.0
43,1.0,1.0,1.0,2.0
44,1.0,1.0,1.0,1.0
45,0.0,0.0,0.0,1.0
accuracy,0.7885714285714286,0.7885714285714286,0.7885714285714286,0.7885714285714286
macro avg,0.4573635394538956,0.4404839252661791,0.4286404896732033,700.0
weighted avg,0.7858373293427936,0.7885714285714286,0.7781446809881675,700.0
