model,beam,length_penalty,bleu1,bleu2,bleu4
Seq2Seq+Attention,1,0.6,0.6597239749070845,0.5136293543276462,0.3314353831876304
Transformer,1,0.6,0.6362236137705278,0.48611565128150297,0.31114400461676395
Seq2Seq+Attention,1,0.8,0.6597239749070845,0.5136293543276462,0.3314353831876304
Transformer,1,0.8,0.6362236137705278,0.48611565128150297,0.31114400461676395
Seq2Seq+Attention,1,1.0,0.6597239749070845,0.5136293543276462,0.3314353831876304
Transformer,1,1.0,0.6362236137705278,0.48611565128150297,0.31114400461676395
Seq2Seq+Attention,1,1.2,0.6597239749070845,0.5136293543276462,0.3314353831876304
Transformer,1,1.2,0.6362236137705278,0.48611565128150297,0.31114400461676395
Seq2Seq+Attention,3,0.6,0.6703129017653299,0.528138277546738,0.347367830176973
Transformer,3,0.6,0.6350859129741594,0.4955008050925368,0.33043003659433634
Seq2Seq+Attention,3,0.8,0.6718192842080117,0.5293697696202596,0.3476720806754483
Transformer,3,0.8,0.640901939830078,0.49991045555652686,0.3320220179961527
Seq2Seq+Attention,3,1.0,0.6730645560819328,0.5299357827581122,0.3474689366793737
Transformer,3,1.0,0.645613699869409,0.5028141482019356,0.3323760498920914
Seq2Seq+Attention,3,1.2,0.6742019371528432,0.5305756510003599,0.3473517118418352
Transformer,3,1.2,0.6505509278505979,0.5044174270234746,0.3312968137157476
Seq2Seq+Attention,5,0.6,0.6721538564579409,0.53110909306877,0.35014475620913305
Transformer,5,0.6,0.6316878552265235,0.4941907442665395,0.33068820834370505
Seq2Seq+Attention,5,0.8,0.6743490032370548,0.5329769000296339,0.35124269133724034
Transformer,5,0.8,0.6391853703918455,0.49939143882988035,0.3325813258641891
Seq2Seq+Attention,5,1.0,0.6756469883707922,0.5334874442479546,0.35099954691048424
Transformer,5,1.0,0.6467757670930709,0.5044119729188822,0.33446031493205136
Seq2Seq+Attention,5,1.2,0.6763118565260711,0.5337243905722739,0.35088040498967066
Transformer,5,1.2,0.6548051687829783,0.5081923385546652,0.3344609380115793
